Badge,Feeder,Latitude,Longitude,Outage_Number
ME-1Q2001255,Bath Village,13.07719711,-59.55483408,1
ME-1Q2001720,Bath Village,13.07736551,-59.55456531,1
ME-1Q2001779,Bath Village,13.07673685,-59.55312711,1
ME-1Q2001780,Bath Village,13.07687237,-59.55305633,1
ME-1Q2001406,Bath Village,13.07573248,-59.55431489,1
ME-1Q2001874,Bath Village,13.07669639,-59.55325447,1
ME-1Q2001719,Bath Village,13.07692287,-59.55381309,1
ME-1Q2005006,Bath Village,13.07891814,-59.56063605,1
ME-1Q2005008,Bath Village,13.07920765,-59.56085792,1
ME-1Q2005009,Bath Village,13.07909809,-59.56104999,1
ME-1Q2005470,Bath Village,13.07932754,-59.56121282,1
ME-1Q2005471,Bath Village,13.07995935,-59.56121739,1
ME-1Q2005472,Bath Village,13.07812884,-59.56182383,1
ME-1P1000437,Bath Village,13.07373581,-59.55652458,1
ME-1Q2005663,Bath Village,13.08053224,-59.56129743,1
ME-1Q2005664,Bath Village,13.08050063,-59.56111081,1
ME-1Q2005665,Bath Village,13.08029147,-59.56137146,1
ME-1Q2004806,Bath Village,13.07566833,-59.55772841,1
ME-1Q2004807,Bath Village,13.07548956,-59.55746558,1
ME-1Q2004809,Bath Village,13.07562949,-59.55737233,1
ME-1Q2004894,Bath Village,13.07575539,-59.55765262,1
ME-1Q2004896,Bath Village,13.07546423,-59.55696129,1
ME-1Q2004910,Bath Village,13.07535628,-59.55787029,1
ME-1Q2004911,Bath Village,13.07513974,-59.55804377,1
ME-1Q2004912,Bath Village,13.07549123,-59.55797743,1
ME-1Q2004913,Bath Village,13.07557404,-59.55791571,1
ME-1Q2004942,Bath Village,13.07490035,-59.55768296,1
ME-1Q2004944,Bath Village,13.07498228,-59.55776847,1
ME-1Q2004945,Bath Village,13.07502916,-59.55794992,1
ME-1Q2006238,Bath Village,13.07037511,-59.56680709,1
ME-1Q2006227,Bath Village,13.07226337,-59.56792166,1
ME-1Q2006071,Bath Village,13.07287016,-59.56260412,1
ME-1Q2006093,Bath Village,13.07296384,-59.56086052,1
ME-1Q2006236,Bath Village,13.07296077,-59.56771955,1
ME-1W2000110,Bath Village,13.06822105,-59.57492878,1
ME-1Q2006276,Bath Village,13.06866471,-59.56849853,1
ME-1Q2006120,Bath Village,13.06928082,-59.56706263,1
ME-1Q2006121,Bath Village,13.06928148,-59.56710711,1
