Badge,Feeder,Latitude,Longitude
ME-1Q2000321,Newton,13.07999365,-59.54793994
ME-1Q2000322,Newton,13.07991116,-59.54794795
ME-1Q2000324,Newton,13.08093066,-59.54638461
ME-1Q2000325,Newton,13.0809618,-59.54637763
ME-1Q2000340,Newton,13.08096747,-59.54448936
ME-1Q2000341,Newton,13.08080516,-59.54344479
ME-1Q2000342,Newton,13.07948539,-59.5451195
ME-1Q2000344,Newton,13.07998247,-59.54648414
ME-1Q2000346,Newton,13.08055989,-59.54624965
ME-1Q2000347,Newton,13.08013918,-59.54635126
ME-1Q2000348,Newton,13.07951861,-59.5475592
ME-1Q2000349,Newton,13.07952176,-59.54764044
ME-1Q2000350,Newton,13.07938475,-59.54757112
ME-1Q2000352,Newton,13.07931032,-59.54730226
ME-1Q2000354,Newton,13.07932063,-59.54742857
ME-1Q2000829,Newton,13.07659221,-59.53659033
ME-1Q2000830,Newton,13.07663362,-59.53676956
ME-1Q2000831,Newton,13.07681696,-59.53664854
ME-1Q2000833,Newton,13.07821692,-59.53540804
ME-1Q2000834,Newton,13.07945942,-59.53362777
ME-1Q2000835,Newton,13.07930944,-59.53393951
ME-1Q2000836,Newton,13.07842776,-59.53651207
ME-1Q2000840,Newton,13.07817712,-59.52918366
ME-1Q2000841,Newton,13.07813552,-59.52929441
ME-1Q2000842,Newton,13.07810771,-59.5292778
ME-1Q2000843,Newton,13.07589193,-59.52925697
ME-1Q2000844,Newton,13.07861733,-59.53234245
ME-1Q2000845,Newton,13.07865485,-59.53172784
ME-1Q2000847,Newton,13.07859972,-59.53196209
ME-1Q2000849,Newton,13.07903996,-59.53353039
ME-1Q2000828,Newton,13.07661882,-59.53667137
ME-1P1000049,Newton,13.07447959,-59.53844965
ME-1P1000051,Newton,13.07448834,-59.54102005
ME-1P1000052,Newton,13.07462032,-59.53802493
ME-1P1000053,Oistins,13.07649454,-59.55303955
ME-1P1000054,Oistins,13.07588319,-59.5526802
ME-1P1000055,Oistins,13.07574674,-59.55270074
ME-1P1000058,Newton,13.07518535,-59.54316067
ME-1P1000059,Newton,13.07581689,-59.53816115
ME-1P1000061,Newton,13.07599525,-59.54338601
ME-1P1000062,Newton,13.07621514,-59.54353681
ME-1P1000063,Newton,13.07588411,-59.54455635
ME-1P1000065,Newton,13.07700258,-59.53454841
ME-1P1000066,Newton,13.07701728,-59.53463391
ME-1P1000069,Oistins,13.07631868,-59.54988104
ME-1P1000070,Newton,13.07669549,-59.55018828
ME-1Q2000357,Newton,13.08211509,-59.54148702
ME-1Q2000359,Newton,13.08198091,-59.54142273
ME-1Q2000360,Newton,13.07917518,-59.54633303
ME-1Q2000363,Newton,13.07911422,-59.54637643
ME-1Q2000365,Newton,13.08207552,-59.54166747
ME-1Q2000367,Newton,13.08198697,-59.54138913
ME-1Q2000370,Newton,13.07908079,-59.5440372
ME-1Q2000371,Newton,13.07916921,-59.54517914
ME-1Q2000373,Newton,13.07831677,-59.54483153
ME-1Q2000377,Newton,13.08039785,-59.54720988
ME-1Q2000378,Newton,13.08048665,-59.54692187
ME-1Q2000379,Newton,13.08044572,-59.54692717
ME-1Q2000380,Newton,13.07766506,-59.55061133
ME-1Q2000386,Newton,13.07994629,-59.54705105
ME-1Q2000387,Newton,13.07999251,-59.54658202
ME-1Q2000850,Newton,13.07906724,-59.53355333
ME-1Q2000851,Newton,13.07658702,-59.53653469
ME-1Q2000853,Newton,13.07639728,-59.53451161
ME-1Q2000855,Newton,13.07656319,-59.5343362
ME-1Q2000858,Newton,13.07687009,-59.53791162
ME-1Q2000859,Newton,13.07726551,-59.53790522
ME-1Q2000860,Newton,13.07780737,-59.53940369
ME-1Q2000873,Newton,13.07834237,-59.53628168
ME-1Q2000875,Newton,13.07784875,-59.53608406
ME-1Q2000877,Newton,13.07736936,-59.5352237
ME-1Q2000879,Newton,13.07755896,-59.53534057
ME-1Q2000880,Newton,13.07814798,-59.53566361
ME-1Q2000881,Newton,13.07801888,-59.53609065
ME-1Q2000882,Newton,13.07845652,-59.5359897
ME-1Q2000883,Newton,13.07792346,-59.53616771
ME-1Q2001011,Newton,13.07971391,-59.52604269
ME-1Q2001014,Newton,13.07482802,-59.53634259
ME-1Q2001015,Newton,13.07486962,-59.53634302
ME-1Q2001016,Newton,13.0781214,-59.53397694
ME-1Q2001017,Newton,13.0777199,-59.53468451
ME-1Q2001018,Newton,13.07745869,-59.53440141
ME-1Q2001021,Newton,13.07844541,-59.53719309
ME-1Q2001023,Newton,13.07787252,-59.53716248
ME-1P1000072,Oistins,13.0760159,-59.54991413
ME-1P1000074,Newton,13.07773587,-59.53714039
ME-1P1000076,Newton,13.07857657,-59.53739053
ME-1P1000077,Newton,13.07515481,-59.53717847
ME-1P1000078,Newton,13.07482165,-59.53778132
ME-1P1000079,Newton,13.07479048,-59.5374262
ME-1P1000080,Newton,13.07472331,-59.53744989
ME-1P1000085,Newton,13.07694847,-59.53526379
ME-1P1000086,Newton,13.07701975,-59.53376069
ME-1P1000088,Newton,13.07620818,-59.53259886
ME-1P1000089,Newton,13.0769088,-59.53598228
ME-1P1000090,Newton,13.07587327,-59.53624814
ME-1P1000091,Newton,13.07592456,-59.53628378
ME-1P1000092,Newton,13.07686363,-59.53600619
ME-1P1000093,Newton,13.07661812,-59.53643406
ME-1Q2000388,Newton,13.07957382,-59.54572241
ME-1Q2000393,Newton,13.0817219,-59.54311157
ME-1Q2000394,Newton,13.08170713,-59.54325187
