OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
9515,ME-1Q2025037,Oistins,13.06056685,-59.53535501,3
9516,ME-1Q2025032,Oistins,13.06094219,-59.53383571,3
9517,ME-1Q2024624,Oistins,13.06042131,-59.5378938,3
9518,ME-1Q2022717,Oistins,13.04706383,-59.53059341,3
9519,ME-1Q2022755,Oistins,13.04715941,-59.53171256,3
9520,ME-1Q2022501,Oistins,13.05376049,-59.53411869,3
9521,ME-1Q2022421,Oistins,13.05578494,-59.53485046,3
9522,ME-1Q2022746,Oistins,13.04818223,-59.53144329,3
9523,ME-1Q2022694,Oistins,13.05064078,-59.53293039,3
9524,ME-1Q2022201,Oistins,13.04916537,-59.5338253,3
9525,ME-1Q2022499,Oistins,13.0535596,-59.53396645,3
9526,ME-1Q2022487,Oistins,13.05096561,-59.53441548,3
9527,ME-1Q2022475,Oistins,13.05173442,-59.53279017,3
9528,ME-1Q2022433,Oistins,13.05554715,-59.53543256,3
9529,ME-1Q2022507,Oistins,13.05219583,-59.53325875,3
9530,ME-1Q2022440,Oistins,13.05505184,-59.53537985,3
9531,ME-1Q2025064,Oistins,13.06063674,-59.53778412,3
9532,ME-1Q2025006,Oistins,13.06346331,-59.53752171,3
9533,ME-1Q2022707,Oistins,13.05068913,-59.53212462,3
9534,ME-1Q2022706,Oistins,13.05049353,-59.53227586,3
9535,ME-1Q2022753,Oistins,13.04787097,-59.53266356,3
9536,ME-1Q2022484,Oistins,13.05416369,-59.53397639,3
9537,ME-1Q2021672,Oistins,13.0714614,-59.55722045,3
9538,ME-1Q2021689,Oistins,13.07150696,-59.55739937,3
9539,ME-1Q2021688,Oistins,13.07157627,-59.55740007,3
9540,ME-1Q2023398,Oistins,13.05649771,-59.53602868,3
9541,ME-1Q2024684,Oistins,13.05724997,-59.53305993,3
9542,ME-1Q2025067,Oistins,13.0607022,-59.53816667,3
9543,ME-1Q2024847,Oistins,13.05743246,-59.53248427,3
9544,ME-1Q2024856,Oistins,13.05702596,-59.53357382,3
9545,ME-1Q2022404,Oistins,13.05455411,-59.53552115,3
9546,ME-1Q2022494,Oistins,13.05199414,-59.53329454,3
9547,ME-1Q2022402,Oistins,13.05455534,-59.53555998,3
9548,ME-1Q2022539,Oistins,13.0499686,-59.53331366,3
9549,ME-1Q2022528,Oistins,13.04903487,-59.53224609,3
9550,ME-1Q2022504,Oistins,13.05076555,-59.53446446,3
9551,ME-1Q2022502,Oistins,13.05072379,-59.53447157,3
9552,ME-1Q2022524,Oistins,13.0497067,-59.5322787,3
9553,ME-1Q2022743,Oistins,13.0475253,-59.53065113,3
9554,ME-1Q2022749,Oistins,13.04818376,-59.53253217,3
9555,ME-1Q2022393,Oistins,13.05424692,-59.53448019,3
9556,ME-1Q2024850,Oistins,13.05755569,-59.5336648,3
9557,ME-1Q2025044,Oistins,13.06014832,-59.53802359,3
9558,ME-1Q2025023,Oistins,13.06003845,-59.53637751,3
9559,ME-1Q2024855,Oistins,13.0570729,-59.53356806,3
9560,ME-1Q2025068,Oistins,13.06071998,-59.53819651,3
9561,ME-1Q2022760,Oistins,13.05464475,-59.53358875,3
9562,ME-1Q2022488,Oistins,13.05114236,-59.53439404,3
9563,ME-1Q2022536,Oistins,13.04952362,-59.5333674,3
9564,ME-1Q2022699,Oistins,13.05062042,-59.53396966,3
9565,ME-1Q2022775,Oistins,13.04786841,-59.53197798,3
9566,ME-1Q2022748,Oistins,13.04822224,-59.53147318,3
9567,ME-1Q2022722,Oistins,13.04871916,-59.53342556,3
9568,ME-1Q2022532,Oistins,13.0488316,-59.53264752,3
9569,ME-1Q2022464,Oistins,13.0517731,-59.53394836,3
9570,ME-1Q2026003,Oistins,13.0586607,-59.52576339,3
9571,ME-1Q2029573,Oistins,13.05812032,-59.52977249,3
9572,ME-1Q2025283,Oistins,13.06112771,-59.53804647,3
9573,ME-1Q2025143,Oistins,13.05540277,-59.53175821,3
9574,ME-1Q2025275,Oistins,13.06162292,-59.53727059,3
9575,ME-1Q2025377,Oistins,13.05494327,-59.53128031,3
