OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
1692,ME-1Q2000802,Newton,13.07340351,-59.53750085,2
1693,ME-1Q2000805,Newton,13.07298624,-59.53716696,2
1694,ME-1Q2000806,Newton,13.07461879,-59.53745026,2
1695,ME-1Q2000809,Newton,13.07846789,-59.52868553,2
1696,ME-1Q2000810,Newton,13.07848915,-59.52866332,2
1697,ME-1Q2000811,Newton,13.07850851,-59.52863913,2
1698,ME-1Q2000815,Newton,13.07963671,-59.54457595,2
1699,ME-1Q2000817,Newton,13.07831624,-59.53032646,2
1700,ME-1Q2000818,Newton,13.08012162,-59.54400675,2
1701,ME-1Q2000821,Newton,13.0737502,-59.5372352,2
1702,ME-1Q2000823,Newton,13.07404047,-59.53773084,2
1703,ME-1Q2000824,Newton,13.07638318,-59.53448662,2
1704,ME-1Q2000826,Newton,13.07650583,-59.53471981,2
1705,ME-1Q2000827,Newton,13.07641328,-59.53448986,2
1706,ME-1P1000021,Newton,13.07419988,-59.53671085,2
1707,ME-1P1000022,Newton,13.07482505,-59.53585939,2
1708,ME-1P1000027,Newton,13.07525125,-59.53858377,2
1709,ME-1P1000028,Newton,13.0756069,-59.53896165,2
1710,ME-1P1000033,Newton,13.07786466,-59.53556685,2
1711,ME-1P1000034,Newton,13.07834564,-59.53603105,2
1712,ME-1P1000035,Newton,13.07865066,-59.53724779,2
1713,ME-1P1000036,Newton,13.07815844,-59.53643707,2
1714,ME-1P1000041,Newton,13.07695246,-59.5525963,2
1715,ME-1P1000042,Newton,13.07709189,-59.55147194,2
1716,ME-1P1000043,Newton,13.07644011,-59.5490197,2
1717,ME-1Q2000321,Newton,13.07999365,-59.54793994,2
1718,ME-1Q2000322,Newton,13.07991116,-59.54794795,2
1719,ME-1Q2000324,Newton,13.08093066,-59.54638461,2
1720,ME-1Q2000325,Newton,13.0809618,-59.54637763,2
1721,ME-1Q2000340,Newton,13.08096747,-59.54448936,2
1722,ME-1Q2000341,Newton,13.08080516,-59.54344479,2
1723,ME-1Q2000342,Newton,13.07948539,-59.5451195,2
1724,ME-1Q2000344,Newton,13.07998247,-59.54648414,2
1725,ME-1Q2000346,Newton,13.08055989,-59.54624965,2
1726,ME-1Q2000347,Newton,13.08013918,-59.54635126,2
1727,ME-1Q2000348,Newton,13.07951861,-59.5475592,2
1728,ME-1Q2000349,Newton,13.07952176,-59.54764044,2
1729,ME-1Q2000350,Newton,13.07938475,-59.54757112,2
1730,ME-1Q2000352,Newton,13.07931032,-59.54730226,2
1731,ME-1Q2000354,Newton,13.07932063,-59.54742857,2
1732,ME-1Q2000829,Newton,13.07659221,-59.53659033,2
1733,ME-1Q2000830,Newton,13.07663362,-59.53676956,2
1734,ME-1Q2000831,Newton,13.07681696,-59.53664854,2
1735,ME-1Q2000833,Newton,13.07821692,-59.53540804,2
1736,ME-1Q2000834,Newton,13.07945942,-59.53362777,2
1737,ME-1Q2000835,Newton,13.07930944,-59.53393951,2
1738,ME-1Q2000836,Newton,13.07842776,-59.53651207,2
1739,ME-1Q2000840,Newton,13.07817712,-59.52918366,2
1740,ME-1Q2000841,Newton,13.07813552,-59.52929441,2
1741,ME-1Q2000842,Newton,13.07810771,-59.5292778,2
1742,ME-1Q2000843,Newton,13.07589193,-59.52925697,2
1743,ME-1Q2000844,Newton,13.07861733,-59.53234245,2
1744,ME-1Q2000845,Newton,13.07865485,-59.53172784,2
1745,ME-1Q2000847,Newton,13.07859972,-59.53196209,2
1746,ME-1Q2000849,Newton,13.07903996,-59.53353039,2
1747,ME-1Q2000828,Newton,13.07661882,-59.53667137,2
1748,ME-1P1000049,Newton,13.07447959,-59.53844965,2
1749,ME-1P1000051,Newton,13.07448834,-59.54102005,2
1750,ME-1P1000052,Newton,13.07462032,-59.53802493,2
1751,ME-1P1000058,Newton,13.07518535,-59.54316067,2
1752,ME-1P1000059,Newton,13.07581689,-59.53816115,2
1753,ME-1P1000061,Newton,13.07599525,-59.54338601,2
1754,ME-1P1000062,Newton,13.07621514,-59.54353681,2
1755,ME-1P1000063,Newton,13.07588411,-59.54455635,2
1756,ME-1P1000065,Newton,13.07700258,-59.53454841,2
1757,ME-1P1000066,Newton,13.07701728,-59.53463391,2
1758,ME-1P1000070,Newton,13.07669549,-59.55018828,2
1759,ME-1Q2000357,Newton,13.08211509,-59.54148702,2
1760,ME-1Q2000359,Newton,13.08198091,-59.54142273,2
1761,ME-1Q2000360,Newton,13.07917518,-59.54633303,2
1762,ME-1Q2000363,Newton,13.07911422,-59.54637643,2
1763,ME-1Q2000365,Newton,13.08207552,-59.54166747,2
1764,ME-1Q2000367,Newton,13.08198697,-59.54138913,2
1765,ME-1Q2000370,Newton,13.07908079,-59.5440372,2
1766,ME-1Q2000371,Newton,13.07916921,-59.54517914,2
1767,ME-1Q2000373,Newton,13.07831677,-59.54483153,2
1768,ME-1Q2000377,Newton,13.08039785,-59.54720988,2
1769,ME-1Q2000378,Newton,13.08048665,-59.54692187,2
1770,ME-1Q2000379,Newton,13.08044572,-59.54692717,2
1771,ME-1Q2000380,Newton,13.07766506,-59.55061133,2
1772,ME-1Q2000386,Newton,13.07994629,-59.54705105,2
1773,ME-1Q2000387,Newton,13.07999251,-59.54658202,2
1774,ME-1Q2000850,Newton,13.07906724,-59.53355333,2
1775,ME-1Q2000851,Newton,13.07658702,-59.53653469,2
1776,ME-1Q2000853,Newton,13.07639728,-59.53451161,2
1777,ME-1Q2000855,Newton,13.07656319,-59.5343362,2
1778,ME-1Q2000858,Newton,13.07687009,-59.53791162,2
1779,ME-1Q2000859,Newton,13.07726551,-59.53790522,2
1780,ME-1Q2000860,Newton,13.07780737,-59.53940369,2
1781,ME-1Q2000873,Newton,13.07834237,-59.53628168,2
1782,ME-1Q2000875,Newton,13.07784875,-59.53608406,2
1783,ME-1Q2000877,Newton,13.07736936,-59.5352237,2
1784,ME-1Q2000879,Newton,13.07755896,-59.53534057,2
1785,ME-1Q2000880,Newton,13.07814798,-59.53566361,2
1786,ME-1Q2000881,Newton,13.07801888,-59.53609065,2
1787,ME-1Q2000882,Newton,13.07845652,-59.5359897,2
1788,ME-1Q2000883,Newton,13.07792346,-59.53616771,2
1789,ME-1Q2001011,Newton,13.07971391,-59.52604269,2
1790,ME-1Q2001014,Newton,13.07482802,-59.53634259,2
1791,ME-1Q2001015,Newton,13.07486962,-59.53634302,2
1792,ME-1Q2001016,Newton,13.0781214,-59.53397694,2
1793,ME-1Q2001017,Newton,13.0777199,-59.53468451,2
1794,ME-1Q2001018,Newton,13.07745869,-59.53440141,2
1795,ME-1Q2001021,Newton,13.07844541,-59.53719309,2
1796,ME-1Q2001023,Newton,13.07787252,-59.53716248,2
1797,ME-1P1000074,Newton,13.07773587,-59.53714039,2
1798,ME-1P1000076,Newton,13.07857657,-59.53739053,2
1799,ME-1P1000077,Newton,13.07515481,-59.53717847,2
1800,ME-1P1000078,Newton,13.07482165,-59.53778132,2
1801,ME-1P1000079,Newton,13.07479048,-59.5374262,2
1802,ME-1P1000080,Newton,13.07472331,-59.53744989,2
1803,ME-1P1000085,Newton,13.07694847,-59.53526379,2
1804,ME-1P1000086,Newton,13.07701975,-59.53376069,2
1805,ME-1P1000088,Newton,13.07620818,-59.53259886,2
1806,ME-1P1000089,Newton,13.0769088,-59.53598228,2
1807,ME-1P1000090,Newton,13.07587327,-59.53624814,2
1808,ME-1P1000091,Newton,13.07592456,-59.53628378,2
1809,ME-1P1000092,Newton,13.07686363,-59.53600619,2
1810,ME-1P1000093,Newton,13.07661812,-59.53643406,2
1811,ME-1Q2000388,Newton,13.07957382,-59.54572241,2
1812,ME-1Q2000393,Newton,13.0817219,-59.54311157,2
1813,ME-1Q2000394,Newton,13.08170713,-59.54325187,2
1814,ME-1Q2000395,Newton,13.0820433,-59.54195161,2
1815,ME-1Q2000397,Newton,13.08190498,-59.54107303,2
1816,ME-1Q2000398,Newton,13.08178044,-59.54293801,2
1817,ME-1Q2000404,Newton,13.0797844,-59.54432427,2
1818,ME-1Q2000405,Newton,13.0786806,-59.5432455,2
1819,ME-1Q2000408,Newton,13.08083261,-59.54459039,2
1820,ME-1Q2000409,Newton,13.0808334,-59.54450993,2
1821,ME-1Q2000410,Newton,13.08083301,-59.54455137,2
1822,ME-1Q2000412,Newton,13.08079189,-59.54459974,2
1823,ME-1Q2000413,Newton,13.08079707,-59.54455833,2
1824,ME-1Q2000415,Newton,13.08079078,-59.54447048,2
1825,ME-1Q2000884,Newton,13.07441699,-59.53809023,2
1826,ME-1Q2000885,Newton,13.07434777,-59.53812901,2
1827,ME-1Q2000888,Newton,13.07495895,-59.53740789,2
1828,ME-1Q2000889,Newton,13.07460885,-59.53769472,2
1829,ME-1Q2000890,Newton,13.07490858,-59.53719948,2
1830,ME-1Q2000892,Newton,13.07508894,-59.53768482,2
1831,ME-1Q2000895,Newton,13.07518215,-59.53783208,2
1832,ME-1Q2000896,Newton,13.07810001,-59.53669588,2
1833,ME-1Q2000898,Newton,13.07811468,-59.53621465,2
1834,ME-1Q2000903,Newton,13.07467447,-59.53877759,2
1835,ME-1Q2000908,Newton,13.0787203,-59.54337093,2
1836,ME-1Q2000911,Newton,13.0807924,-59.53140658,2
1837,ME-1Q2000913,Newton,13.07805423,-59.53040737,2
1838,ME-1Q2001032,Newton,13.07904392,-59.52975109,2
1839,ME-1Q2001033,Newton,13.07882386,-59.53015872,2
1840,ME-1Q2001036,Newton,13.07505206,-59.53454247,2
1841,ME-1Q2001044,Newton,13.07695275,-59.5373449,2
1842,ME-1Q2001053,Newton,13.07595026,-59.53639713,2
1843,ME-1Q2001054,Newton,13.07532158,-59.53635658,2
1844,ME-1P1000094,Newton,13.07750144,-59.53508255,2
1845,ME-1P1000095,Newton,13.07652558,-59.53681819,2
1846,ME-1P1000096,Newton,13.07752101,-59.53503788,2
1847,ME-1P1000098,Newton,13.07566883,-59.53800614,2
1848,ME-1P1000099,Newton,13.07549097,-59.53844293,2
1849,ME-1P1000100,Newton,13.07547133,-59.53857749,2
1850,ME-1P1000103,Newton,13.07693348,-59.53730475,2
1851,ME-1P1000104,Newton,13.07741791,-59.53805849,2
1852,ME-1P1000105,Newton,13.07845009,-59.53564743,2
1853,ME-1P1000106,Newton,13.07846691,-59.53779073,2
