OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Num
1,ME-1Q2001255,Bath Village,13.077197110000000,-59.554834079999999,1
2,ME-1Q2001720,Bath Village,13.077365510000000,-59.554565310000001,1
3,ME-1Q2001779,Bath Village,13.076736850000000,-59.553127109999998,1
4,ME-1Q2001780,Bath Village,13.076872370000000,-59.553056329999997,1
5,ME-1Q2001406,Bath Village,13.075732479999999,-59.554314890000001,1
6,ME-1Q2001874,Bath Village,13.076696390000000,-59.553254469999999,1
7,ME-1Q2001719,Bath Village,13.076922870000001,-59.553813089999998,1
8,ME-1Q2005006,Bath Village,13.078918140000001,-59.560636049999999,1
9,ME-1Q2005008,Bath Village,13.079207650000001,-59.560857919999997,1
10,ME-1Q2005009,Bath Village,13.079098090000000,-59.561049990000001,1
11,ME-1Q2005470,Bath Village,13.079327540000000,-59.561212820000001,1
12,ME-1Q2005471,Bath Village,13.079959349999999,-59.561217390000003,1
13,ME-1Q2005472,Bath Village,13.078128840000000,-59.561823830000002,1
14,ME-1P1000437,Bath Village,13.073735810000001,-59.556524580000001,1
15,ME-1Q2005663,Bath Village,13.080532240000000,-59.561297430000003,1
16,ME-1Q2005664,Bath Village,13.080500630000000,-59.561110810000002,1
17,ME-1Q2005665,Bath Village,13.080291470000001,-59.561371459999997,1
18,ME-1Q2004806,Bath Village,13.075668329999999,-59.557728410000003,1
19,ME-1Q2004807,Bath Village,13.075489559999999,-59.557465579999999,1
20,ME-1Q2004809,Bath Village,13.075629490000001,-59.557372330000000,1
21,ME-1Q2004894,Bath Village,13.075755389999999,-59.557652619999999,1
22,ME-1Q2004896,Bath Village,13.075464230000000,-59.556961289999997,1
23,ME-1Q2004910,Bath Village,13.075356279999999,-59.557870289999997,1
24,ME-1Q2004911,Bath Village,13.075139739999999,-59.558043769999998,1
25,ME-1Q2004912,Bath Village,13.075491230000001,-59.557977430000001,1
26,ME-1Q2004913,Bath Village,13.075574039999999,-59.557915710000003,1
27,ME-1Q2004942,Bath Village,13.074900350000000,-59.557682960000001,1
28,ME-1Q2004944,Bath Village,13.074982280000000,-59.557768469999999,1
29,ME-1Q2004945,Bath Village,13.075029160000000,-59.557949919999999,1
30,ME-1Q2006238,Bath Village,13.070375110000001,-59.566807089999998,1
31,ME-1Q2006227,Bath Village,13.072263370000000,-59.567921660000003,1
32,ME-1Q2006071,Bath Village,13.072870160000001,-59.562604120000003,1
33,ME-1Q2006093,Bath Village,13.072963840000000,-59.560860519999999,1
34,ME-1Q2006236,Bath Village,13.072960770000000,-59.567719550000000,1
